quote,name,date,quote_id,lower_quote,lower_tokenized_quote,year,quote_length,tool_frequency,scaled_tool_frequency
The digitally mediated practice of the Humanities.,Christopher Long,2014-01-01,685,the digitally mediated practice of the humanities.,"['the', 'digitally', 'mediated', 'practice', 'of', 'the', 'humanities', '.']",2014,8,0,0.0
The Digital Humanities is an environment that encourages scholars to develop and apply digital tools to new and old questions.,Naomi Fraser,2014-01-01,686,the digital humanities is an environment that encourages scholars to develop and apply digital tools to new and old questions.,"['the', 'digital', 'humanities', 'is', 'an', 'environment', 'that', 'encourages', 'scholars', 'to', 'develop', 'and', 'apply', 'digital', 'tools', 'to', 'new', 'and', 'old', 'questions', '.']",2014,21,1,0.047619047619047616
Using digital tools and methods to carry out humanistic inquiry from new perspectives and to ask new questions about the humanities.,John Handel,2014-01-01,687,using digital tools and methods to carry out humanistic inquiry from new perspectives and to ask new questions about the humanities.,"['using', 'digital', 'tools', 'and', 'methods', 'to', 'carry', 'out', 'humanistic', 'inquiry', 'from', 'new', 'perspectives', 'and', 'to', 'ask', 'new', 'questions', 'about', 'the', 'humanities', '.']",2014,22,1,0.045454545454545456
"I see the digital humanities as a set of methods that apply information technologies to humanities problems. For me, DH presents a set of tools to use when collecting, analyzing, and visualizing data - whether that data is derived from text, images, code, sound, or any other medium.",Amanda Licastro,2014-01-01,688,"i see the digital humanities as a set of methods that apply information technologies to humanities problems. for me, dh presents a set of tools to use when collecting, analyzing, and visualizing data - whether that data is derived from text, images, code, sound, or any other medium.","['i', 'see', 'the', 'digital', 'humanities', 'as', 'a', 'set', 'of', 'methods', 'that', 'apply', 'information', 'technologies', 'to', 'humanities', 'problems', '.', 'for', 'me', ',', 'dh', 'presents', 'a', 'set', 'of', 'tools', 'to', 'use', 'when', 'collecting', ',', 'analyzing', ',', 'and', 'visualizing', 'data', '-', 'whether', 'that', 'data', 'is', 'derived', 'from', 'text', ',', 'images', ',', 'code', ',', 'sound', ',', 'or', 'any', 'other', 'medium', '.']",2014,57,1,0.017543859649122806
"what they said ... because really, it is. i don't have a new spin on the definition. to me it is not an elusive thing, this digital humanities. it is part of my job as a librarian. the happy part i might add. i strive to welcome folks who want to get their feet wet while challenging myself to learn more when partnering with the wizards.",Michelle Dalmau,2014-01-01,689,"what they said ... because really, it is. i don't have a new spin on the definition. to me it is not an elusive thing, this digital humanities. it is part of my job as a librarian. the happy part i might add. i strive to welcome folks who want to get their feet wet while challenging myself to learn more when partnering with the wizards.","['what', 'they', 'said', '...', 'because', 'really', ',', 'it', 'is', '.', 'i', 'do', ""n't"", 'have', 'a', 'new', 'spin', 'on', 'the', 'definition', '.', 'to', 'me', 'it', 'is', 'not', 'an', 'elusive', 'thing', ',', 'this', 'digital', 'humanities', '.', 'it', 'is', 'part', 'of', 'my', 'job', 'as', 'a', 'librarian', '.', 'the', 'happy', 'part', 'i', 'might', 'add', '.', 'i', 'strive', 'to', 'welcome', 'folks', 'who', 'want', 'to', 'get', 'their', 'feet', 'wet', 'while', 'challenging', 'myself', 'to', 'learn', 'more', 'when', 'partnering', 'with', 'the', 'wizards', '.']",2014,75,0,0.0
Harnessing the power of computing technology to formulate and pose different questions to new and familiar sets of data.,V Ikeshoji-Orlati,2014-01-01,690,harnessing the power of computing technology to formulate and pose different questions to new and familiar sets of data.,"['harnessing', 'the', 'power', 'of', 'computing', 'technology', 'to', 'formulate', 'and', 'pose', 'different', 'questions', 'to', 'new', 'and', 'familiar', 'sets', 'of', 'data', '.']",2014,20,0,0.0
"I think I'll stick with the same definition I used last year: 'Digital humanities involves the use of digital tools in research, teaching, and scholarship in humanities(-related) disciplines.'
I'll add that DH, at its best, includes a sense of play and of discovery.",Amy Cavender,2014-01-01,691,"i think i'll stick with the same definition i used last year: 'digital humanities involves the use of digital tools in research, teaching, and scholarship in humanities(-related) disciplines.'
i'll add that dh, at its best, includes a sense of play and of discovery.","['i', 'think', 'i', ""'ll"", 'stick', 'with', 'the', 'same', 'definition', 'i', 'used', 'last', 'year', ':', ""'digital"", 'humanities', 'involves', 'the', 'use', 'of', 'digital', 'tools', 'in', 'research', ',', 'teaching', ',', 'and', 'scholarship', 'in', 'humanities', '(', '-related', ')', 'disciplines', '.', ""'"", 'i', ""'ll"", 'add', 'that', 'dh', ',', 'at', 'its', 'best', ',', 'includes', 'a', 'sense', 'of', 'play', 'and', 'of', 'discovery', '.']",2014,56,1,0.017857142857142856
The intersection of humanities inquiry and digital technologies.,Matthew Hiebert,2014-01-01,692,the intersection of humanities inquiry and digital technologies.,"['the', 'intersection', 'of', 'humanities', 'inquiry', 'and', 'digital', 'technologies', '.']",2014,9,0,0.0
"DH seems to be an evolving field of inquiry, research, pedagogical practice and knowledge production that involves the intersection of digital tools/practice with work in the humanities.",Sylvia Marques,2014-01-01,693,"dh seems to be an evolving field of inquiry, research, pedagogical practice and knowledge production that involves the intersection of digital tools/practice with work in the humanities.","['dh', 'seems', 'to', 'be', 'an', 'evolving', 'field', 'of', 'inquiry', ',', 'research', ',', 'pedagogical', 'practice', 'and', 'knowledge', 'production', 'that', 'involves', 'the', 'intersection', 'of', 'digital', 'tools/practice', 'with', 'work', 'in', 'the', 'humanities', '.']",2014,30,1,0.03333333333333333
The definition of digital humanities is continuously mutually negotiated by locally situated actors for specific situated purposes,Matt Burton,2014-01-01,694,the definition of digital humanities is continuously mutually negotiated by locally situated actors for specific situated purposes,"['the', 'definition', 'of', 'digital', 'humanities', 'is', 'continuously', 'mutually', 'negotiated', 'by', 'locally', 'situated', 'actors', 'for', 'specific', 'situated', 'purposes']",2014,17,0,0.0
"Studying past, present and future ways of being using digital tools + creating/building/maneuvering/revising ways of being at the points where humans connect with and through digital machines.",Joy Santee,2014-01-01,695,"studying past, present and future ways of being using digital tools + creating/building/maneuvering/revising ways of being at the points where humans connect with and through digital machines.","['studying', 'past', ',', 'present', 'and', 'future', 'ways', 'of', 'being', 'using', 'digital', 'tools', '+', 'creating/building/maneuvering/revising', 'ways', 'of', 'being', 'at', 'the', 'points', 'where', 'humans', 'connect', 'with', 'and', 'through', 'digital', 'machines', '.']",2014,29,1,0.034482758620689655
Using computational methods and approaches to augment and enhance traditional humanities disciplines.,Wayne Graham,2014-01-01,696,using computational methods and approaches to augment and enhance traditional humanities disciplines.,"['using', 'computational', 'methods', 'and', 'approaches', 'to', 'augment', 'and', 'enhance', 'traditional', 'humanities', 'disciplines', '.']",2014,13,0,0.0
"My definition of DH is influenced by Hip Hop practices that are constantly looking to manipulate technology for the communities using them. Therefore, I understand DH various communities of scholars that are using 'digital' technology to produce, re-produce, re-imagine, and remember humanities based work.",Victor Del Hierro,2014-01-01,697,"my definition of dh is influenced by hip hop practices that are constantly looking to manipulate technology for the communities using them. therefore, i understand dh various communities of scholars that are using 'digital' technology to produce, re-produce, re-imagine, and remember humanities based work.","['my', 'definition', 'of', 'dh', 'is', 'influenced', 'by', 'hip', 'hop', 'practices', 'that', 'are', 'constantly', 'looking', 'to', 'manipulate', 'technology', 'for', 'the', 'communities', 'using', 'them', '.', 'therefore', ',', 'i', 'understand', 'dh', 'various', 'communities', 'of', 'scholars', 'that', 'are', 'using', ""'digital"", ""'"", 'technology', 'to', 'produce', ',', 're-produce', ',', 're-imagine', ',', 'and', 'remember', 'humanities', 'based', 'work', '.']",2014,51,0,0.0
"The study of things, digitally. Or, from time to time, the study of digital things.",Anastasia Salter,2014-01-01,698,"the study of things, digitally. or, from time to time, the study of digital things.","['the', 'study', 'of', 'things', ',', 'digitally', '.', 'or', ',', 'from', 'time', 'to', 'time', ',', 'the', 'study', 'of', 'digital', 'things', '.']",2014,20,0,0.0
Digital Humanities is a way of seeing the networked nature of our work and our field as it adds to and pulls from other disciplines.,Adam Strantz,2014-01-01,699,digital humanities is a way of seeing the networked nature of our work and our field as it adds to and pulls from other disciplines.,"['digital', 'humanities', 'is', 'a', 'way', 'of', 'seeing', 'the', 'networked', 'nature', 'of', 'our', 'work', 'and', 'our', 'field', 'as', 'it', 'adds', 'to', 'and', 'pulls', 'from', 'other', 'disciplines', '.']",2014,26,0,0.0
